code,trade_date,name,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
00127,20260909,华人置业,1.050,1.050,1.045,1.055,1.070,-0.015,-1.40,94500,99085,
00128,20260909,安宁控股,0.505,0.505,0.500,0.505,0.505,+0.000,+0.00,112000,56540,
00129,20260909,泛海集团,,,,0.178,0.178,+0.000,+0.00,,,
00130,20260909,慕诗国际,,,,0.180,0.180,+0.000,+0.00,,,
00131,20260909,卓能(集团),1.330,1.330,1.330,1.330,1.330,+0.000,+0.00,6000,7980,
00132,20260909,兴业控股,0.150,0.159,0.150,0.155,0.160,-0.005,-3.13,181000,27559,
00133,20260909,招商局中国基金,25.400,26.000,25.400,25.760,25.500,+0.260,+1.02,310375,7980336,
00135,20260909,昆仑能源,7.675,7.675,7.545,7.645,7.675,-0.030,-0.39,10985491,83653192,
00136,20260909,中国儒意,1.475,1.475,1.420,1.435,1.470,-0.035,-2.38,115497100,165854660,
00137,20260909,金辉集团,0.680,0.680,0.660,0.660,0.660,+0.000,+0.00,6000,4060,
00138,20260909,中建富通,,,,0.300,0.300,+0.000,+0.00,,,
00139,20260909,小鱼盈通,0.108,0.108,0.104,0.105,0.108,-0.003,-2.78,3218401,341630,
00142,20260909,第一太平,5.030,5.050,5.000,5.010,5.020,-0.010,-0.20,3722000,18662742,
00144,20260909,招商局港口,16.440,16.580,16.260,16.530,16.570,-0.040,-0.24,3367326,55475153,
00145,20260909,信能低碳,0.240,0.249,0.236,0.239,0.246,-0.007,-2.85,728800,174816,
00146,20260909,太平地毡,1.580,1.580,1.580,1.580,1.585,-0.005,-0.32,4000,6320,
00147,20260909,国际商业结算,0.195,0.209,0.184,0.193,0.195,-0.002,-1.03,57905000,11314865,
00148,20260909,建滔集团,52.000,53.100,51.650,53.050,50.950,+2.100,+4.12,17323160,909576450,
00149,20260909,中国农产品交易,0.068,0.068,0.068,0.068,0.068,+0.000,+0.00,305000,20740,
00150,20260909,HYPEBEAST,0.157,0.160,0.153,0.159,0.160,-0.001,-0.63,114800,17828,
00151,20260909,中国旺旺,2.990,3.010,2.880,2.895,2.980,-0.085,-2.85,22229420,64630530,
00152,20260909,深圳国际,5.465,5.505,5.355,5.460,5.445,+0.015,+0.28,7277289,39645610,
00154,20260909,北京控股环境集团,0.430,0.450,0.430,0.450,0.445,+0.005,+1.12,273000,121105,
00156,20260909,力宝华润,0.995,0.995,0.990,0.990,0.995,-0.005,-0.50,97995,96985,
