"股票代码","信号日期","市场","买点类型","信号总分","买入价","观察期内最高价","观察期内最大涨幅","是否命中目标"
"	000767","2025-04-29","CN","右侧","90.0","2.7","3.6","0.3333","是"
"	000767","2025-07-01","CN","右侧","85.0","2.98","3.52","0.1812","是"
"	000767","2025-08-21","CN","右侧","85.0","3.12","3.17","0.016","否"
"	000767","2026-01-13","CN","右侧","90.0","2.93","3.43","0.1706","是"
"","","","","","","","",""
"	000783","2025-07-23","CN","右侧","90.0","7.25","8.24","0.1366","是"
"	000783","2025-09-22","CN","左侧","70.0","7.9","8.7","0.1013","是"
"","","","","","","","",""
"	000791","2025-07-01","CN","右侧","85.0","6.31","7.39","0.1712","是"
"	000791","2025-09-17","CN","左侧","75.0","6.6","7.19","0.0894","否"
"	000791","2026-01-14","CN","右侧","75.0","6.64","7.03","0.0587","否"
"","","","","","","","",""
"	000792","2025-04-02","CN","左侧","70.0","16.5","16.87","0.0224","否"
"	000792","2025-06-05","CN","右侧","85.0","16.17","17.74","0.0971","否"
"	000792","2025-09-26","CN","左侧","70.0","19.94","25.88","0.2979","是"
"	000792","2025-12-09","CN","左侧","70.0","25.24","32.75","0.2975","是"
"	000792","2026-02-10","CN","左侧","70.0","32.94","40.9","0.2417","是"
"","","","","","","","",""
"	000798","2025-07-14","CN","左侧","70.0","7.98","8.82","0.1053","是"
"	000798","2025-10-24","CN","右侧","90.0","8.12","15.09","0.8584","是"
"	000798","2026-01-15","CN","左侧","75.0","10.92","12.39","0.1346","是"
"","","","","","","","",""
"	000799","2025-04-01","CN","左侧","70.0","46.52","48.66","0.046","否"
"	000799","2025-07-01","CN","右侧","85.0","42.75","50.88","0.1902","是"
"	000799","2025-08-14","CN","右侧","90.0","50.1","76.8","0.5329","是"
"	000799","2025-11-07","CN","左侧","70.0","59.8","68.5","0.1455","是"
"	000799","2026-01-30","CN","右侧","85.0","54.58","61.5","0.1268","是"
"","","","","","","","",""
"	000800","2025-08-04","CN","左侧","70.0","6.99","7.78","0.113","是"
"	000800","2025-09-12","CN","左侧","70.0","7.13","7.22","0.0126","否"
"	000800","2025-10-30","CN","右侧","75.0","7.14","7.64","0.07","否"
"	000800","2025-11-28","CN","左侧","75.0","7.1","7.24","0.0197","否"
"	000800","2026-02-04","CN","右侧","75.0","6.97","7.07","0.0143","否"
"","","","","","","","",""
"	000811","2025-09-09","CN","左侧","70.0","12.53","14.95","0.1931","是"
"	000811","2025-10-22","CN","左侧","70.0","13.55","15.59","0.1506","是"
"	000811","2025-11-20","CN","左侧","70.0","13.66","18.36","0.3441","是"
"	000811","2026-03-20","CN","左侧","70.0","17.14","19.25","0.1231","是"
"","","","","","","","",""
"	000823","2025-04-02","CN","左侧","70.0","10.58","10.72","0.0132","否"
"	000823","2025-11-12","CN","左侧","75.0","12.76","16.35","0.2813","是"
"	000823","2026-02-02","CN","左侧","70.0","14.15","16.8","0.1873","是"
"","","","","","","","",""
"	000830","2025-09-29","CN","左侧","70.0","14.1","14.92","0.0582","否"
"	000830","2025-11-07","CN","右侧","90.0","15.43","16.78","0.0875","否"
"	000830","2026-02-05","CN","左侧","75.0","16.85","21.8","0.2938","是"
"","","","","","","","",""
"	000831","2025-04-16","CN","左侧","70.0","32.92","35.16","0.068","否"
"	000831","2025-07-01","CN","左侧","70.0","35.9","46.5","0.2953","是"
"","","","","","","","",""
"	000833","2025-04-29","CN","左侧","70.0","11.72","13.17","0.1237","是"
"	000833","2025-07-07","CN","左侧","70.0","12.05","12.97","0.0763","否"
"	000833","2025-08-08","CN","左侧","70.0","12.09","15.4","0.2738","是"
"	000833","2026-01-06","CN","右侧","90.0","21.1","23.99","0.137","是"
"","","","","","","","",""
"	000878","2025-06-17","CN","左侧","70.0","11.97","13.64","0.1395","是"
"	000878","2026-02-11","CN","左侧","70.0","22.88","27.01","0.1805","是"
"","","","","","","","",""
"	000880","2025-04-29","CN","左侧","70.0","34.15","39.2","0.1479","是"
"","","","","","","","",""
"	000887","2025-07-23","CN","右侧","90.0","17.88","23.16","0.2953","是"
"	000887","2025-12-11","CN","右侧","90.0","21.88","23.99","0.0964","否"
"","","","","","","","",""
"	000889","2025-05-26","CN","左侧","70.0","2.78","4.34","0.5612","是"
"	000889","2025-07-15","CN","左侧","75.0","3.62","4.49","0.2403","是"
"	000889","2025-10-31","CN","左侧","75.0","3.76","4.72","0.2553","是"
"	000889","2026-01-30","CN","左侧","70.0","3.58","3.83","0.0698","否"
"	000889","2026-03-30","CN","右侧","75.0","3.48","4.35","0.25","是"
"","","","","","","","",""
"	000890","2025-04-30","CN","右侧","90.0","3.37","4.15","0.2315","是"
"	000890","2025-06-20","CN","左侧","70.0","3.57","4.63","0.2969","是"
"	000890","2025-07-29","CN","左侧","70.0","3.97","4.59","0.1562","是"
"	000890","2025-09-08","CN","左侧","75.0","4.09","5.28","0.291","是"
"	000890","2025-11-07","CN","左侧","70.0","4.84","5.0","0.0331","否"
"	000890","2026-01-09","CN","左侧","70.0","5.68","6.2","0.0915","否"
"","","","","","","","",""
"	000893","2025-04-01","CN","左侧","90.0","24.72","29.93","0.2108","是"
"	000893","2026-03-02","CN","右侧","90.0","60.76","71.58","0.1781","是"
"","","","","","","","",""
"	000902","2025-05-09","CN","左侧","70.0","13.41","13.92","0.038","否"
"	000902","2025-06-13","CN","右侧","75.0","13.83","14.18","0.0253","否"
"	000902","2025-09-10","CN","左侧","70.0","14.7","14.96","0.0177","否"
"	000902","2025-12-31","CN","左侧","70.0","15.62","17.72","0.1344","是"
"","","","","","","","",""
"	000917","2025-05-14","CN","左侧","70.0","7.43","8.28","0.1144","是"
"	000917","2025-06-23","CN","左侧","70.0","7.24","7.88","0.0884","否"
"	000917","2025-08-18","CN","右侧","75.0","7.83","8.38","0.0702","否"
"	000917","2025-09-23","CN","右侧","90.0","8.09","9.31","0.1508","是"
"	000917","2025-12-08","CN","右侧","75.0","9.01","12.42","0.3785","是"
"	000917","2026-01-27","CN","左侧","70.0","11.45","12.68","0.1074","是"
"","","","","","","","",""
"	000920","2025-05-12","CN","左侧","90.0","9.98","10.3","0.0321","否"
"	000920","2025-06-23","CN","左侧","70.0","9.88","13.7","0.3866","是"
"	000920","2025-11-19","CN","左侧","70.0","12.98","13.69","0.0547","否"
"	000920","2026-02-11","CN","左侧","70.0","12.8","14.93","0.1664","是"
"","","","","","","","",""
"	000933","2025-04-01","CN","左侧","70.0","18.71","19.08","0.0198","否"
"	000933","2025-06-13","CN","右侧","100.0","16.93","17.55","0.0366","否"
"	000933","2025-09-22","CN","左侧","75.0","19.13","24.81","0.2969","是"
"	000933","2025-12-02","CN","左侧","70.0","26.23","27.78","0.0591","否"
"","","","","","","","",""
"	000938","2025-07-08","CN","右侧","75.0","24.18","25.44","0.0521","否"
"	000938","2025-08-13","CN","右侧","90.0","25.3","30.21","0.1941","是"
"	000938","2026-01-05","CN","右侧","75.0","25.26","28.3","0.1203","是"
"","","","","","","","",""
"	000949","2025-06-06","CN","左侧","70.0","3.97","4.03","0.0151","否"
"	000949","2025-08-04","CN","左侧","70.0","3.89","4.18","0.0746","否"
"	000949","2025-10-16","CN","左侧","70.0","4.21","5.55","0.3183","是"
"	000949","2025-12-01","CN","左侧","70.0","4.72","5.71","0.2097","是"
"	000949","2026-02-27","CN","左侧","70.0","7.09","7.91","0.1157","是"
"","","","","","","","",""
"	000952","2025-06-26","CN","左侧","75.0","6.09","7.14","0.1724","是"
"	000952","2025-11-18","CN","左侧","70.0","7.74","10.42","0.3463","是"
"","","","","","","","",""
