code,date,market,buy_type,score_total,entry_close,max_high_20d,max_gain_20d,hit
002519,2025-11-19,CN,右侧,50.0,4.89,7.27,0.4867,True
003035,2025-11-20,CN,左侧,90.0,5.04,5.05,0.002,False
601567,2025-11-26,CN,左侧,75.0,22.81,24.2,0.0609,False
601628,2025-11-27,CN,左侧,55.0,43.95,47.65,0.0842,False
003035,2025-11-28,CN,左侧,70.0,4.83,4.83,0.0,False
601567,2025-11-28,CN,左侧,55.0,22.65,24.2,0.0684,False
601998,2025-11-28,CN,左侧,55.0,7.76,7.91,0.0193,False
002519,2025-11-28,CN,右侧,45.0,5.14,7.27,0.4144,True
600176,2025-12-01,CN,右侧,75.0,15.74,16.88,0.0724,False
002519,2025-12-01,CN,右侧,45.0,5.65,7.27,0.2867,True
603979,2025-12-01,CN,右侧,35.0,65.9,82.93,0.2584,True
002519,2025-12-02,CN,右侧,60.0,5.93,7.27,0.226,True
002028,2025-12-03,CN,左侧,70.0,147.65,162.4,0.0999,False
002519,2025-12-03,CN,右侧,60.0,6.52,7.27,0.115,True
002519,2025-12-04,CN,右侧,60.0,5.98,7.27,0.2157,True
603979,2025-12-04,CN,右侧,60.0,68.99,82.93,0.2021,True
601628,2025-12-05,CN,右侧,75.0,45.4,50.2,0.1057,True
600938,2025-12-05,CN,左侧,70.0,28.94,30.44,0.0518,False
002519,2025-12-05,CN,右侧,60.0,6.08,7.84,0.2895,True
002519,2025-12-08,CN,右侧,60.0,6.06,8.62,0.4224,True
600938,2025-12-08,CN,左侧,55.0,28.54,30.44,0.0666,False
603979,2025-12-08,CN,右侧,50.0,68.34,82.93,0.2135,True
002519,2025-12-09,CN,右侧,60.0,6.42,9.48,0.4766,True
002519,2025-12-10,CN,右侧,50.0,6.25,10.43,0.6688,True
002519,2025-12-11,CN,右侧,60.0,6.88,11.47,0.6672,True
002519,2025-12-12,CN,右侧,60.0,6.61,12.62,0.9092,True
601628,2025-12-15,CN,右侧,50.0,46.01,51.92,0.1285,True
600938,2025-12-15,CN,左侧,75.0,28.32,30.44,0.0749,False
002519,2025-12-15,CN,右侧,50.0,6.95,12.62,0.8158,True
601628,2025-12-17,CN,右侧,50.0,46.85,51.92,0.1082,True
601567,2025-12-17,CN,左侧,55.0,24.09,26.42,0.0967,False
601567,2025-12-18,CN,左侧,55.0,23.32,27.0,0.1578,True
601567,2025-12-19,CN,左侧,70.0,23.49,27.11,0.1541,True
300048,2025-12-19,CN,右侧,35.0,5.78,7.48,0.2941,True
600176,2025-12-22,CN,右侧,35.0,15.65,20.78,0.3278,True
600176,2025-12-23,CN,右侧,45.0,16.32,21.58,0.3223,True
688629,2025-12-23,CN,右侧,45.0,94.72,115.24,0.2166,True
600176,2025-12-24,CN,右侧,60.0,16.79,21.58,0.2853,True
688629,2025-12-24,CN,右侧,50.0,95.88,115.24,0.2019,True
688629,2025-12-26,CN,右侧,50.0,97.15,115.24,0.1862,True
600938,2025-12-29,CN,右侧,75.0,28.94,36.22,0.2516,True
688629,2025-12-29,CN,右侧,60.0,103.86,115.24,0.1096,True
603979,2025-12-29,CN,右侧,50.0,76.3,83.66,0.0965,False
600176,2025-12-30,CN,右侧,50.0,16.6,22.14,0.3337,True
600938,2025-12-30,CN,右侧,35.0,29.86,36.9,0.2358,True
600176,2025-12-31,CN,右侧,60.0,17.1,22.14,0.2947,True
601628,2026-01-05,CN,右侧,35.0,48.27,51.92,0.0756,False
600938,2026-01-05,CN,右侧,100.0,29.04,36.9,0.2707,True
600176,2026-01-05,CN,右侧,50.0,17.5,22.14,0.2651,True
601628,2026-01-06,CN,右侧,35.0,49.67,51.92,0.0453,False
600563,2026-01-06,CN,右侧,50.0,108.09,118.3,0.0945,False
601567,2026-01-06,CN,右侧,45.0,24.68,27.11,0.0985,False
600938,2026-01-07,CN,右侧,100.0,28.59,36.9,0.2907,True
300048,2026-01-08,CN,右侧,60.0,7.0,7.65,0.0929,False
300048,2026-01-09,CN,右侧,60.0,6.96,7.65,0.0991,False
600563,2026-01-09,CN,右侧,50.0,108.05,118.3,0.0949,False
300048,2026-01-12,CN,右侧,60.0,7.17,7.65,0.0669,False
600563,2026-01-12,CN,右侧,50.0,108.58,118.3,0.0895,False
601998,2026-01-13,CN,右侧,75.0,7.64,7.9,0.034,False
002028,2026-01-13,CN,右侧,60.0,162.33,210.88,0.2991,True
002519,2026-01-13,CN,右侧,60.0,10.42,11.46,0.0998,False
601567,2026-01-13,CN,右侧,60.0,24.98,27.11,0.0853,False
300048,2026-01-13,CN,右侧,50.0,6.93,7.65,0.1039,True
600563,2026-01-13,CN,右侧,50.0,107.0,118.3,0.1056,True
600938,2026-01-13,CN,右侧,50.0,29.63,36.9,0.2454,True
603979,2026-01-13,CN,右侧,50.0,76.75,89.77,0.1696,True
601567,2026-01-14,CN,右侧,90.0,24.5,27.11,0.1065,True
002519,2026-01-14,CN,右侧,60.0,11.46,10.69,-0.0672,False
002028,2026-01-14,CN,右侧,50.0,161.87,210.88,0.3028,True
003035,2026-01-14,CN,右侧,50.0,4.79,7.99,0.6681,True
600563,2026-01-14,CN,右侧,50.0,105.63,118.3,0.1199,True
003035,2026-01-15,CN,右侧,50.0,4.87,7.99,0.6407,True
003035,2026-01-16,CN,右侧,60.0,4.92,7.99,0.624,True
600563,2026-01-16,CN,右侧,60.0,108.49,118.3,0.0904,False
002028,2026-01-16,CN,右侧,50.0,185.9,221.5,0.1915,True
601567,2026-01-16,CN,右侧,50.0,24.95,27.11,0.0866,False
002028,2026-01-19,CN,右侧,60.0,204.49,228.62,0.118,True
003035,2026-01-19,CN,右侧,60.0,5.12,7.99,0.5605,True
601567,2026-01-19,CN,右侧,60.0,26.63,27.11,0.018,False
002519,2026-01-19,CN,右侧,50.0,8.35,10.58,0.2671,True
600563,2026-01-19,CN,右侧,50.0,110.48,118.3,0.0708,False
002028,2026-01-20,CN,右侧,60.0,196.82,228.62,0.1616,True
003035,2026-01-20,CN,右侧,60.0,5.63,7.99,0.4192,True
600563,2026-01-20,CN,右侧,50.0,111.81,118.3,0.058,False
601567,2026-01-20,CN,右侧,50.0,26.38,26.65,0.0102,False
003035,2026-01-21,CN,右侧,60.0,5.86,7.99,0.3635,True
600563,2026-01-21,CN,右侧,60.0,115.59,119.49,0.0337,False
002028,2026-01-21,CN,右侧,50.0,196.95,231.11,0.1734,True
600176,2026-01-21,CN,右侧,50.0,20.44,28.88,0.4129,True
003035,2026-01-22,CN,右侧,60.0,5.6,8.22,0.4679,True
600176,2026-01-22,CN,右侧,50.0,21.26,28.88,0.3584,True
600938,2026-01-22,CN,右侧,50.0,31.82,37.3,0.1722,True
002519,2026-01-22,CN,右侧,35.0,8.6,10.88,0.2651,True
003035,2026-01-23,CN,右侧,60.0,5.72,8.95,0.5647,True
002519,2026-01-23,CN,右侧,35.0,9.06,10.88,0.2009,True
003035,2026-01-26,CN,右侧,60.0,5.93,8.95,0.5093,True
600563,2026-01-26,CN,右侧,50.0,115.99,120.9,0.0423,False
600938,2026-01-26,CN,右侧,50.0,33.49,43.41,0.2962,True
601628,2026-01-27,CN,右侧,35.0,48.5,50.7,0.0454,False
003035,2026-01-27,CN,右侧,50.0,5.8,8.95,0.5431,True
003035,2026-01-28,CN,右侧,60.0,6.0,9.16,0.5267,True
600938,2026-01-28,CN,右侧,50.0,35.57,44.5,0.2511,True
603979,2026-01-28,CN,右侧,50.0,82.43,89.77,0.089,False
603979,2026-01-29,CN,右侧,60.0,87.8,84.0,-0.0433,False
003035,2026-01-29,CN,右侧,50.0,6.09,9.16,0.5041,True
600938,2026-01-29,CN,右侧,50.0,36.42,44.5,0.2219,True
003035,2026-01-30,CN,右侧,50.0,6.22,9.58,0.5402,True
603979,2026-01-30,CN,右侧,50.0,79.02,79.49,0.0059,False
002519,2026-02-02,CN,左侧,70.0,7.85,10.88,0.386,True
003035,2026-02-02,CN,右侧,60.0,6.76,9.93,0.4689,True
600563,2026-02-03,CN,左侧,75.0,107.35,121.49,0.1317,True
003035,2026-02-03,CN,右侧,60.0,7.44,10.49,0.4099,True
601628,2026-02-04,CN,左侧,55.0,48.7,49.66,0.0197,False
600563,2026-02-04,CN,左侧,90.0,106.77,122.47,0.147,True
601998,2026-02-04,CN,左侧,75.0,7.35,7.65,0.0408,False
